№;Номер поставки;Предмет;Код номенклатуры;Бренд;Артикул поставщика;Название;Размер;Баркод;Тип документа;Обоснование для оплаты;Дата заказа покупателем;Дата продажи;Кол-во;Цена розничная;Вайлдберриз реализовал Товар (Пр);Согласованный продуктовый дисконт, %;Промокод, %;Итоговая согласованная скидка, %;Цена розничная с учетом согласованной скидки;Размер снижения кВВ из-за рейтинга, %;Размер изменения кВВ из-за акции, %;Скидка постоянного Покупателя (СПП), %;Размер кВВ, %;Размер кВВ без НДС, % Базовый;Итоговый кВВ без НДС, %;Вознаграждение с продаж до вычета услуг поверенного, без НДС;Возмещение за выдачу и возврат товаров на ПВЗ;Эквайринг/Комиссии за организацию платежей;Размер комиссии за эквайринг/Комиссии за организацию платежей, %;Тип платежа за Эквайринг/Комиссии за организацию платежей;Вознаграждение Вайлдберриз (ВВ), без НДС;НДС с Вознаграждения Вайлдберриз;К перечислению Продавцу за реализованный Товар;Количество доставок;Количество возврата;Услуги по доставке товара покупателю;Дата начала действия фиксации;Дата конца действия фиксации;Признак услуги платной доставки;Общая сумма штрафов;Корректировка Вознаграждения Вайлдберриз (ВВ);Виды логистики, штрафов и корректировок ВВ;Стикер МП;Наименование банка-эквайера;Номер офиса;Наименование офиса доставки;ИНН партнера;Партнер;Склад;Страна;Тип коробов;Номер таможенной декларации;Номер сборочного задания;Код маркировки;ШК;Srid;Возмещение издержек по перевозке/по складским операциям с товаром;Организатор перевозки;Хранение;Удержания;Операции на приемке;Фиксированный коэффициент склада по поставке;Признак продажи юридическому лицу;Номер короба для обработки товара;Скидка по программе софинансирования;Скидка Wibes, %;Компенсация скидки по программе лояльности;Стоимость участия в программе лояльности;Сумма удержанная за начисленные баллы программы лояльности;Id корзины заказа;Разовое изменение срока перечисления денежных средств;Id собственной акции продавца с дополнительной скидкой;Размер дополнительной скидки по собственной акции продавца, %;Способы продажи и тип товара;Уникальный идентификатор скидки лояльности от продавца;Размер скидки лояльности от продавца,%;Id промокода;Скидка за промокод, %
1;31472919;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;0;4670157464770;;Логистика;2026-01-02;2026-01-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;1;0;46;2025-08-01;2025-09-30;;0;0;К клиенту при продаже;;;105383;Костанайская область Рудный улица Ленина 189;;;Самара (Новосемейкино);Казахстан;Моно;;;"0104670157464770215;:VmsaXgEv>Q�93H+B/";38654515274;Dj.e0d1fa0b84fa46fbb5d0111efa9431dd.0.0;0;;0;0;0;2;Нет;0;0;0;0;0;0;e0d1fa0b84fa46fbb5d0111efa9431dd;0;0;0;FBW, (МГТ, коробка);0;0;;0
2;31472919;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;0;4670157464770;Продажа;Продажа;2026-01-02;2026-01-12;1;522,27;426,18;0;0;0;522,27;0;0;18,4;20,5;16,8;-1,6;8,99;0;11,26;2,64;Перевыставление эквайринга;8,99;1,98;403,95;0;0;0;;;;0;0;;;;105383;Костанайская область Рудный улица Ленина 189;;;Самара (Новосемейкино);Казахстан;Моно;;;"0104670157464770215;:VmsaXgEv>Q�93H+B/";38654515274;Dj.e0d1fa0b84fa46fbb5d0111efa9431dd.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;e0d1fa0b84fa46fbb5d0111efa9431dd;0;0;0;;0;0;;0
3;29570986;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;0;4670157464770;;Логистика;2026-01-12;2026-01-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;1;0;36,8;2025-06-05;2025-08-04;;0;0;К клиенту при продаже;;;153213;Гродненская область Гродно улица Дзержинского 125А;;;Электросталь;Беларусь;Моно;;;0104670157464770215cdYbO4ZqTOil�93a4ko;35198322309;DAz.rfed09690e53a40dc9081a474e6d44a72.0.0;0;;0;0;0;1,6;Нет;0;0;0;0;0;0;rfed09690e53a40dc9081a474e6d44a72;0;0;0;FBW, (МГТ, коробка);0;0;;0
4;29570986;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;0;4670157464770;Продажа;Продажа;2026-01-12;2026-01-15;1;521,47;496,41;0;0;0;521,47;0;0;4,81;20,5;16,8;11,99;67,08;0;11,32;2,28;Перевыставление эквайринга;67,08;14,76;403,25;0;0;0;;;;0;0;;;ALFA-BANK;153213;Гродненская область Гродно улица Дзержинского 125А;;;Электросталь;Беларусь;Моно;;;0104670157464770215cdYbO4ZqTOil�93a4ko;35198322309;DAz.rfed09690e53a40dc9081a474e6d44a72.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;rfed09690e53a40dc9081a474e6d44a72;0;0;0;;0;0;;0
5;29570986;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;0;4670157464770;;Логистика;2026-01-03;2026-01-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;1;0;36,8;2025-06-05;2025-08-04;;0;0;К клиенту при отмене;;;50145984;Минск Минск улица Руссиянова 6;;;Электросталь;Беларусь;Моно;;;0104670157464770215U3mVjyUyLnQg�93svAY;35198322305;DAD.r10fe61f773fd4c7ba4c9618e3a53bf2c.0.0;0;;0;0;0;1,6;Нет;0;0;0;0;0;0;r10fe61f773fd4c7ba4c9618e3a53bf2c;0;0;0;FBW, (МГТ, коробка);0;0;;0
6;29570986;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;0;4670157464770;;Логистика;2026-01-03;2026-01-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;1;50;2025-06-05;2025-08-04;;0;0;От клиента при отмене;;;50145984;Минск Минск улица Руссиянова 6;;;Электросталь;Беларусь;Моно;;;0104670157464770215U3mVjyUyLnQg�93svAY;35198322305;DAD.r10fe61f773fd4c7ba4c9618e3a53bf2c.0.0;0;;0;0;0;1,6;Нет;0;0;0;0;0;0;r10fe61f773fd4c7ba4c9618e3a53bf2c;0;0;0;FBW, (МГТ, коробка);0;0;;0
