Дата начисления;Тип начисления;Номер отправления или идентификатор услуги;Дата принятия заказа в обработку или оказания услуги;Склад отгрузки;SKU;Артикул;Название товара или услуги;Количество;За продажу или возврат до вычета комиссий и услуг;Вознаграждение Ozon, %;Вознаграждение Ozon;Сборка заказа;Обработка отправления (Drop-off/Pick-up) (разбивается по товарам пропорционально количеству в отправлении);Магистраль;Последняя миля (разбивается по товарам пропорционально доле цены товара в сумме отправления);Обратная магистраль;Обработка возврата;Обработка отмененного или невостребованного товара (разбивается по товарам в отправлении в одинаковой пропорции);Обработка невыкупленного товара;Логистика;Индекс локализации;Среднее время доставки, часы;Обратная логистика;Итого, руб.
17.01.2026;Доставка покупателю;38263607-0547-4;10.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;450,00;27%;-121,50;0,00;0,00;0,00;-3,52;0,00;0,00;0,00;0,00;-46,77;;;0,00;278,21
17.01.2026;Звёздные товары;38263607-0547-4;10.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,25
17.01.2026;Услуга размещения товаров на складе;;17.01.2026;;;;;0;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-66,04
18.01.2026;Оплата эквайринга;02327586-1050;18.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-7,08
18.01.2026;Доставка покупателю;25600670-0099-3;16.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00;27%;-127,44;0,00;0,00;0,00;-3,31;0,00;0,00;0,00;0,00;-46,77;;;0,00;294,48
18.01.2026;Звёздные товары;25600670-0099-3;16.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,36
18.01.2026;Доставка покупателю;25600670-0099-1;16.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00;27%;-127,44;0,00;0,00;0,00;-3,31;0,00;0,00;0,00;0,00;-46,77;;;0,00;294,48
18.01.2026;Звёздные товары;25600670-0099-1;16.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,36
18.01.2026;Бонусы продавца;25600670-0099-3;16.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,16
18.01.2026;Бонусы продавца;25600670-0099-1;16.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,16
