Период: 16.01.2026-22.01.2026;;;;;;;;;;;;;;;
ID начисления;Дата начисления;Группа услуг;Тип начисления;Артикул;SKU;Название товара;Количество;Цена продавца;Дата принятия заказа в обработку или оказания услуги;Платформа продажи;Схема работы;Вознаграждение Ozon, %;Индекс локализации, %;Среднее время доставки, часы;Сумма итого, руб.
0136421013-0060-3;16.01.2026;Услуги доставки;Логистика;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;423,00 ₽;10.01.2026;Ozon;FBO;27%;;;-46,77 ₽
0136421013-0060-3;16.01.2026;Продажи;Выручка;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;423,00 ₽;10.01.2026;Ozon;FBO;0%;;;286,62 ₽
0136421013-0060-3;16.01.2026;Продажи;Программы партнёров;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;423,00 ₽;10.01.2026;Ozon;FBO;0%;;;2,87 ₽
0136421013-0060-3;16.01.2026;Продажи;Баллы за скидки;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;423,00 ₽;10.01.2026;Ozon;FBO;0%;;;133,51
0136421013-0060-3;16.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;423,00 ₽;10.01.2026;Ozon;FBO;27%;;;-114,21 ₽
0136421013-0060-3;16.01.2026;Услуги агентов;Доставка до места выдачи;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;423,00 ₽;10.01.2026;Ozon;FBO;27%;;;-3,34 ₽
0136421013-0060-3;16.01.2026;Услуги агентов;Звёздные товары;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;10.01.2026;Ozon;FBO;0%;;;-2,12 ₽
;16.01.2026;Услуги FBO;Размещение товаров на складах Ozon;;;;0;0,00 ₽;16.01.2026;;;0%;;;-67,54 ₽
29505231-0089;17.01.2026;Услуги агентов;Эквайринг;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;17.01.2026;;;0%;;;-6,81 ₽
94557143-0026-2;17.01.2026;Продвижение и реклама;Бонусы продавца;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;19.11.2025;;;0%;;;-2,70 ₽
50975147-0392-1;17.01.2026;Услуги доставки;Логистика;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;10.01.2026;Ozon;FBO;27%;;;-46,77 ₽
50975147-0392-1;17.01.2026;Продажи;Выручка;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;10.01.2026;Ozon;FBO;0%;;;362,86 ₽
50975147-0392-1;17.01.2026;Продажи;Программы партнёров;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;10.01.2026;Ozon;FBO;0%;;;3,63 ₽
50975147-0392-1;17.01.2026;Продажи;Баллы за скидки;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;10.01.2026;Ozon;FBO;0%;;;157,51
50975147-0392-1;17.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;10.01.2026;Ozon;FBO;27%;;;-141,48 ₽
50975147-0392-1;17.01.2026;Услуги агентов;Доставка до места выдачи;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;10.01.2026;Ozon;FBO;27%;;;-3,32 ₽
50975147-0392-1;17.01.2026;Услуги агентов;Звёздные товары;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;10.01.2026;Ozon;FBO;0%;;;-2,62 ₽
50975147-0392-1;17.01.2026;Продвижение и реклама;Бонусы продавца;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;10.01.2026;;;0%;;;-2,34 ₽
94456735-0152-1;17.01.2026;Услуги доставки;Логистика;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;455,00 ₽;09.01.2026;Ozon;FBO;27%;;;-46,77 ₽
94456735-0152-1;17.01.2026;Продажи;Выручка;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;455,00 ₽;09.01.2026;Ozon;FBO;0%;;;304,33 ₽
94456735-0152-1;17.01.2026;Продажи;Программы партнёров;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;455,00 ₽;09.01.2026;Ozon;FBO;0%;;;3,04 ₽
94456735-0152-1;17.01.2026;Продажи;Баллы за скидки;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;455,00 ₽;09.01.2026;Ozon;FBO;0%;;;147,63
94456735-0152-1;17.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;455,00 ₽;09.01.2026;Ozon;FBO;27%;;;-122,85 ₽
94456735-0152-1;17.01.2026;Услуги агентов;Доставка до места выдачи;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;455,00 ₽;09.01.2026;Ozon;FBO;27%;;;-2,29 ₽
94456735-0152-1;17.01.2026;Услуги агентов;Звёздные товары;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;09.01.2026;Ozon;FBO;0%;;;-2,28 ₽
38263607-0547-4;17.01.2026;Услуги доставки;Логистика;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;450,00 ₽;10.01.2026;Ozon;FBO;27%;;;-46,77 ₽
38263607-0547-4;17.01.2026;Продажи;Выручка;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;450,00 ₽;10.01.2026;Ozon;FBO;0%;;;313,62 ₽
38263607-0547-4;17.01.2026;Продажи;Программы партнёров;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;450,00 ₽;10.01.2026;Ozon;FBO;0%;;;3,14 ₽
38263607-0547-4;17.01.2026;Продажи;Баллы за скидки;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;450,00 ₽;10.01.2026;Ozon;FBO;0%;;;133,24
38263607-0547-4;17.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;450,00 ₽;10.01.2026;Ozon;FBO;27%;;;-121,50 ₽
38263607-0547-4;17.01.2026;Услуги агентов;Доставка до места выдачи;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;450,00 ₽;10.01.2026;Ozon;FBO;27%;;;-3,52 ₽
38263607-0547-4;17.01.2026;Услуги агентов;Звёздные товары;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;10.01.2026;Ozon;FBO;0%;;;-2,25 ₽
;17.01.2026;Услуги FBO;Размещение товаров на складах Ozon;;;;0;0,00 ₽;17.01.2026;;;0%;;;-66,04 ₽
02327586-1050;18.01.2026;Услуги агентов;Эквайринг;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;18.01.2026;;;0%;;;-7,08 ₽
25600670-0099-3;18.01.2026;Услуги доставки;Логистика;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;16.01.2026;Ozon;FBO;27%;;;-46,77 ₽
25600670-0099-3;18.01.2026;Продажи;Выручка;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;16.01.2026;Ozon;FBO;0%;;;334,60 ₽
25600670-0099-3;18.01.2026;Продажи;Программы партнёров;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;16.01.2026;Ozon;FBO;0%;;;3,35 ₽
25600670-0099-3;18.01.2026;Продажи;Баллы за скидки;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;16.01.2026;Ozon;FBO;0%;;;134,05
25600670-0099-3;18.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;16.01.2026;Ozon;FBO;27%;;;-127,44 ₽
25600670-0099-3;18.01.2026;Услуги агентов;Доставка до места выдачи;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;16.01.2026;Ozon;FBO;27%;;;-3,31 ₽
25600670-0099-3;18.01.2026;Услуги агентов;Звёздные товары;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;16.01.2026;Ozon;FBO;0%;;;-2,36 ₽
25600670-0099-1;18.01.2026;Услуги доставки;Логистика;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;16.01.2026;Ozon;FBO;27%;;;-46,77 ₽
25600670-0099-1;18.01.2026;Продажи;Выручка;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;16.01.2026;Ozon;FBO;0%;;;334,60 ₽
25600670-0099-1;18.01.2026;Продажи;Программы партнёров;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;16.01.2026;Ozon;FBO;0%;;;3,35 ₽
25600670-0099-1;18.01.2026;Продажи;Баллы за скидки;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;16.01.2026;Ozon;FBO;0%;;;134,05
25600670-0099-1;18.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;16.01.2026;Ozon;FBO;27%;;;-127,44 ₽
25600670-0099-1;18.01.2026;Услуги агентов;Доставка до места выдачи;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;16.01.2026;Ozon;FBO;27%;;;-3,31 ₽
25600670-0099-1;18.01.2026;Услуги агентов;Звёздные товары;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;16.01.2026;Ozon;FBO;0%;;;-2,36 ₽
25600670-0099-3;18.01.2026;Продвижение и реклама;Бонусы продавца;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;16.01.2026;;;0%;;;-2,16 ₽
25600670-0099-1;18.01.2026;Продвижение и реклама;Бонусы продавца;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;16.01.2026;;;0%;;;-2,16 ₽
;18.01.2026;Услуги FBO;Размещение товаров на складах Ozon;;;;0;0,00 ₽;18.01.2026;;;0%;;;-65,66 ₽
0232010904-0003;19.01.2026;Услуги агентов;Эквайринг;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;19.01.2026;;;0%;;;-7,08 ₽
0232010904-0003;19.01.2026;Услуги агентов;Эквайринг;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;19.01.2026;;;0%;;;7,08 ₽
33124789-0335;19.01.2026;Услуги агентов;Эквайринг;4670157464848;1659298299;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;0,00 ₽;19.01.2026;;;0%;;;-4,88 ₽
33558504-0277-3;19.01.2026;Услуги доставки;Логистика;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;14.01.2026;Ozon;FBO;27%;;;-46,77 ₽
33558504-0277-3;19.01.2026;Продажи;Выручка;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;14.01.2026;Ozon;FBO;0%;;;346,34 ₽
33558504-0277-3;19.01.2026;Продажи;Программы партнёров;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;14.01.2026;Ozon;FBO;0%;;;3,46 ₽
33558504-0277-3;19.01.2026;Продажи;Баллы за скидки;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;14.01.2026;Ozon;FBO;0%;;;122,20
33558504-0277-3;19.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;14.01.2026;Ozon;FBO;27%;;;-127,44 ₽
33558504-0277-3;19.01.2026;Услуги агентов;Доставка до места выдачи;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;14.01.2026;Ozon;FBO;27%;;;-2,87 ₽
33558504-0277-1;19.01.2026;Услуги доставки;Логистика;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;14.01.2026;Ozon;FBO;27%;;;-46,77 ₽
33558504-0277-1;19.01.2026;Продажи;Выручка;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;14.01.2026;Ozon;FBO;0%;;;346,34 ₽
33558504-0277-1;19.01.2026;Продажи;Программы партнёров;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;14.01.2026;Ozon;FBO;0%;;;3,46 ₽
33558504-0277-1;19.01.2026;Продажи;Баллы за скидки;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;14.01.2026;Ozon;FBO;0%;;;122,20
33558504-0277-1;19.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;14.01.2026;Ozon;FBO;27%;;;-127,44 ₽
33558504-0277-1;19.01.2026;Услуги агентов;Доставка до места выдачи;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;472,00 ₽;14.01.2026;Ozon;FBO;27%;;;-2,87 ₽
33558504-0277-1;19.01.2026;Услуги агентов;Звёздные товары;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;14.01.2026;Ozon;FBO;0%;;;-2,36 ₽
33558504-0277-3;19.01.2026;Услуги агентов;Звёздные товары;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;14.01.2026;Ozon;FBO;0%;;;-2,36 ₽
