Период: 16.01.2026-22.01.2026;;;;;;;;;;;;;;;
ID начисления;Дата начисления;Группа услуг;Тип начисления;Артикул;SKU;Название товара;Количество;Цена продавца;Дата принятия заказа в обработку или оказания услуги;Платформа продажи;Схема работы;Вознаграждение Ozon, %;Индекс локализации, %;Среднее время доставки, часы;Сумма итого, руб.
40586590-0373-1;19.01.2026;Услуги агентов;Доставка до места выдачи;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;15.01.2026;Ozon;FBO;27%;;;-2,82 ₽
40586590-0373-1;19.01.2026;Услуги агентов;Звёздные товары;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;15.01.2026;Ozon;FBO;0%;;;-2,62 ₽
;19.01.2026;Услуги FBO;Размещение товаров на складах Ozon;;;;0;0,00 ₽;19.01.2026;;;0%;;;-64,91 ₽
0102139733-0370;20.01.2026;Услуги агентов;Эквайринг;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;20.01.2026;;;0%;;;-7,00 ₽
44802518-0197;20.01.2026;Услуги агентов;Эквайринг;4670157464848;1659298299;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;0,00 ₽;20.01.2026;;;0%;;;-4,90 ₽
0142257096-0225;20.01.2026;Услуги агентов;Эквайринг;4670157464848;1659298299;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;0,00 ₽;20.01.2026;;;0%;;;-4,98 ₽
20207611-0310;20.01.2026;Услуги агентов;Эквайринг;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;3;0,00 ₽;20.01.2026;;;0%;;;-17,79 ₽
;20.01.2026;Услуги FBO;Размещение товаров на складах Ozon;;;;0;0,00 ₽;20.01.2026;;;0%;;;-64,53 ₽
63263911-0171-3;21.01.2026;Услуги доставки;Логистика;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;15.01.2026;Ozon;FBO;27%;;;-46,77 ₽
63263911-0171-3;21.01.2026;Продажи;Выручка;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;15.01.2026;Ozon;FBO;0%;;;384,76 ₽
63263911-0171-3;21.01.2026;Продажи;Программы партнёров;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;15.01.2026;Ozon;FBO;0%;;;3,85 ₽
63263911-0171-3;21.01.2026;Продажи;Баллы за скидки;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;15.01.2026;Ozon;FBO;0%;;;135,39
63263911-0171-3;21.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;15.01.2026;Ozon;FBO;27%;;;-141,48 ₽
63263911-0171-3;21.01.2026;Услуги агентов;Доставка до места выдачи;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;15.01.2026;Ozon;FBO;27%;;;-2,95 ₽
63263911-0171-3;21.01.2026;Услуги агентов;Звёздные товары;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;15.01.2026;Ozon;FBO;0%;;;-2,62 ₽
63263911-0171-3;21.01.2026;Продвижение и реклама;Бонусы продавца;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;15.01.2026;;;0%;;;-2,52 ₽
41360554-0296;21.01.2026;Услуги агентов;Эквайринг;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;21.01.2026;;;0%;;;-5,34 ₽
0135784519-0026;21.01.2026;Услуги агентов;Эквайринг;4670227414995;1691361926;Тестостерон для мужчин, комплекс витаминов для роста мышц и потенции, цинк, тестобустер, витамины для мужчин;1;0,00 ₽;21.01.2026;;;0%;;;-0,02 ₽
98526604-0038;21.01.2026;Услуги агентов;Эквайринг;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;21.01.2026;;;0%;;;-7,20 ₽
;21.01.2026;Услуги FBO;Размещение товаров на складах Ozon;;;;0;0,00 ₽;21.01.2026;;;0%;;;-63,04 ₽
0121895223-0072;22.01.2026;Услуги агентов;Эквайринг;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;22.01.2026;;;0%;;;-10,13 ₽
0142257096-0225-1;22.01.2026;Услуги доставки;Логистика;4670157464848;1659298299;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;487,00 ₽;20.01.2026;Ozon;FBO;34%;;;-46,77 ₽
0142257096-0225-1;22.01.2026;Продажи;Выручка;4670157464848;1659298299;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;487,00 ₽;20.01.2026;Ozon;FBO;0%;;;261,90 ₽
0142257096-0225-1;22.01.2026;Продажи;Программы партнёров;4670157464848;1659298299;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;487,00 ₽;20.01.2026;Ozon;FBO;0%;;;2,62 ₽
0142257096-0225-1;22.01.2026;Продажи;Баллы за скидки;4670157464848;1659298299;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;487,00 ₽;20.01.2026;Ozon;FBO;0%;;;222,48
0142257096-0225-1;22.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;4670157464848;1659298299;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;487,00 ₽;20.01.2026;Ozon;FBO;34%;;;-165,58 ₽
0142257096-0225-1;22.01.2026;Услуги агентов;Доставка до места выдачи;4670157464848;1659298299;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;487,00 ₽;20.01.2026;Ozon;FBO;34%;;;-2,20 ₽
0142257096-0225-1;22.01.2026;Услуги агентов;Звёздные товары;4670157464848;1659298299;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;0,00 ₽;20.01.2026;Ozon;FBO;0%;;;-2,44 ₽
0142257096-0225-1;22.01.2026;Продвижение и реклама;Бонусы продавца;4670157464848;1659298299;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;0,00 ₽;20.01.2026;;;0%;;;-1,71 ₽
85105024-0120;22.01.2026;Услуги агентов;Эквайринг;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;22.01.2026;;;0%;;;-0,02 ₽
;22.01.2026;Услуги FBO;Размещение товаров на складах Ozon;;;;0;0,00 ₽;22.01.2026;;;0%;;;-61,06 ₽
